latex;natural language
5-6;five minus six
5-6;subtract six from five
5-7;five minus seven
5-7;subtract seven from five
5-8;five minus eight
5-8;subtract eight from five
5-9;five minus nine
5-9;subtract nine from five
5-x;five minus x
5-x;subtract x from five
5-y;five minus y
5-y;subtract y from five
5-z;five minus z
5-z;subtract z from five
6-0;six minus zero
6-0;subtract zero from six
6-1;six minus one
6-1;subtract one from six
6-2;six minus two
6-2;subtract two from six
6-3;six minus three
6-3;subtract three from six
6-4;six minus four
6-4;subtract four from six
6-5;six minus five
6-5;subtract five from six
6-6;six minus six
6-6;subtract six from six
6-7;six minus seven
6-7;subtract seven from six
6-8;six minus eight
6-8;subtract eight from six
6-9;six minus nine
6-9;subtract nine from six
6-x;six minus x
6-x;subtract x from six
6-y;six minus y
6-y;subtract y from six
6-z;six minus z
6-z;subtract z from six
7-0;seven minus zero
7-0;subtract zero from seven
7-1;seven minus one
7-1;subtract one from seven
7-2;seven minus two
7-2;subtract two from seven
7-3;seven minus three
7-3;subtract three from seven
7-4;seven minus four
7-4;subtract four from seven
7-5;seven minus five
7-5;subtract five from seven
7-6;seven minus six
7-6;subtract six from seven
7-7;seven minus seven
7-7;subtract seven from seven
7-8;seven minus eight
7-8;subtract eight from seven
7-9;seven minus nine
7-9;subtract nine from seven
7-x;seven minus x
7-x;subtract x from seven
7-y;seven minus y
7-y;subtract y from seven
7-z;seven minus z
7-z;subtract z from seven
8-0;eight minus zero
8-0;subtract zero from eight
8-1;eight minus one
8-1;subtract one from eight
8-2;eight minus two
8-2;subtract two from eight
8-3;eight minus three
8-3;subtract three from eight
8-4;eight minus four
8-4;subtract four from eight
8-5;eight minus five
8-5;subtract five from eight
8-6;eight minus six
8-6;subtract six from eight
8-7;eight minus seven
8-7;subtract seven from eight
8-8;eight minus eight
8-8;subtract eight from eight
8-9;eight minus nine
8-9;subtract nine from eight
8-x;eight minus x
8-x;subtract x from eight
8-y;eight minus y
8-y;subtract y from eight
8-z;eight minus z
8-z;subtract z from eight
9-0;nine minus zero
9-0;subtract zero from nine
9-1;nine minus one
9-1;subtract one from nine
9-2;nine minus two
9-2;subtract two from nine
9-3;nine minus three
9-3;subtract three from nine
9-4;nine minus four
9-4;subtract four from nine
9-5;nine minus five
9-5;subtract five from nine
9-6;nine minus six
9-6;subtract six from nine
9-7;nine minus seven
9-7;subtract seven from nine
9-8;nine minus eight
9-8;subtract eight from nine
9-9;nine minus nine
9-9;subtract nine from nine
9-x;nine minus x
9-x;subtract x from nine
9-y;nine minus y
9-y;subtract y from nine
9-z;nine minus z
9-z;subtract z from nine
x-0;x minus zero
x-0;subtract zero from x
x-1;x minus one
x-1;subtract one from x
x-2;x minus two
x-2;subtract two from x
x-3;x minus three
x-3;subtract three from x
x-4;x minus four
x-4;subtract four from x
x-5;x minus five
x-5;subtract five from x
x-6;x minus six
x-6;subtract six from x
x-7;x minus seven
x-7;subtract seven from x
x-8;x minus eight
x-8;subtract eight from x
x-9;x minus nine
x-9;subtract nine from x
x-x;x minus x
x-x;subtract x from x
x-y;x minus y
x-y;subtract y from x
x-z;x minus z
x-z;subtract z from x
y-0;y minus zero
y-0;subtract zero from y
y-1;y minus one
y-1;subtract one from y
y-2;y minus two
y-2;subtract two from y
y-3;y minus three
y-3;subtract three from y
y-4;y minus four
y-4;subtract four from y
y-5;y minus five
y-5;subtract five from y
y-6;y minus six
y-6;subtract six from y
y-7;y minus seven
y-7;subtract seven from y
y-8;y minus eight
y-8;subtract eight from y
y-9;y minus nine
y-9;subtract nine from y
y-x;y minus x
y-x;subtract x from y
y-y;y minus y
y-y;subtract y from y
y-z;y minus z
y-z;subtract z from y
z-0;z minus zero
z-0;subtract zero from z
z-1;z minus one
z-1;subtract one from z
z-2;z minus two
z-2;subtract two from z
z-3;z minus three
z-3;subtract three from z
z-4;z minus four
z-4;subtract four from z
z-5;z minus five
z-5;subtract five from z
z-6;z minus six
z-6;subtract six from z
z-7;z minus seven
z-7;subtract seven from z
z-8;z minus eight
z-8;subtract eight from z
z-9;z minus nine
z-9;subtract nine from z
z-x;z minus x
z-x;subtract x from z
z-y;z minus y
z-y;subtract y from z
z-z;z minus z
z-z;subtract z from z
0^0;zero to the zero
0^0;zero to the power of zero
0^1;zero to the one
0^1;zero to the power of one
0^2;zero to the two
0^2;zero to the power of two
0^3;zero to the three
0^3;zero to the power of three
0^4;zero to the four
0^4;zero to the power of four
0^5;zero to the five
0^5;zero to the power of five
0^6;zero to the six
0^6;zero to the power of six
0^7;zero to the seven
0^7;zero to the power of seven
0^8;zero to the eight
0^8;zero to the power of eight
0^9;zero to the nine
0^9;zero to the power of nine
0^x;zero to the x
0^x;zero to the power of x
0^y;zero to the y
0^y;zero to the power of y
0^z;zero to the z
0^z;zero to the power of z
1^0;one to the zero
1^0;one to the power of zero
1^1;one to the one
1^1;one to the power of one
1^2;one to the two
1^2;one to the power of two
1^3;one to the three
1^3;one to the power of three
1^4;one to the four
1^4;one to the power of four
1^5;one to the five
1^5;one to the power of five
1^6;one to the six
1^6;one to the power of six
1^7;one to the seven
1^7;one to the power of seven
1^8;one to the eight
1^8;one to the power of eight
1^9;one to the nine
1^9;one to the power of nine
1^x;one to the x
1^x;one to the power of x
1^y;one to the y
1^y;one to the power of y
1^z;one to the z
1^z;one to the power of z
2^0;two to the zero
2^0;two to the power of zero
2^1;two to the one
2^1;two to the power of one
2^2;two to the two
2^2;two to the power of two
2^3;two to the three
2^3;two to the power of three
2^4;two to the four
2^4;two to the power of four
2^5;two to the five
2^5;two to the power of five
2^6;two to the six
2^6;two to the power of six
2^7;two to the seven
2^7;two to the power of seven
2^8;two to the eight
2^8;two to the power of eight
2^9;two to the nine
2^9;two to the power of nine
2^x;two to the x
2^x;two to the power of x
2^y;two to the y
2^y;two to the power of y
2^z;two to the z
2^z;two to the power of z
3^0;three to the zero
3^0;three to the power of zero
3^1;three to the one
3^1;three to the power of one
3^2;three to the two
3^2;three to the power of two
3^3;three to the three
3^3;three to the power of three
3^4;three to the four
3^4;three to the power of four
3^5;three to the five
3^5;three to the power of five
3^6;three to the six
3^6;three to the power of six
3^7;three to the seven
3^7;three to the power of seven
3^8;three to the eight
3^8;three to the power of eight
3^9;three to the nine
3^9;three to the power of nine
3^x;three to the x
3^x;three to the power of x
3^y;three to the y
3^y;three to the power of y
3^z;three to the z
3^z;three to the power of z
4^0;four to the zero
4^0;four to the power of zero
4^1;four to the one
4^1;four to the power of one
4^2;four to the two
4^2;four to the power of two
4^3;four to the three
4^3;four to the power of three
4^4;four to the four
4^4;four to the power of four
4^5;four to the five
4^5;four to the power of five
4^6;four to the six
4^6;four to the power of six
4^7;four to the seven
4^7;four to the power of seven
4^8;four to the eight
4^8;four to the power of eight
4^9;four to the nine
4^9;four to the power of nine
4^x;four to the x
4^x;four to the power of x
4^y;four to the y
4^y;four to the power of y
4^z;four to the z
4^z;four to the power of z
5^0;five to the zero
5^0;five to the power of zero
5^1;five to the one
5^1;five to the power of one
5^2;five to the two
5^2;five to the power of two
5^3;five to the three
5^3;five to the power of three
5^4;five to the four
5^4;five to the power of four
5^5;five to the five
5^5;five to the power of five
5^6;five to the six
5^6;five to the power of six
5^7;five to the seven
5^7;five to the power of seven
5^8;five to the eight
5^8;five to the power of eight
5^9;five to the nine
5^9;five to the power of nine
5^x;five to the x
5^x;five to the power of x
5^y;five to the y
5^y;five to the power of y
5^z;five to the z
5^z;five to the power of z
6^0;six to the zero
6^0;six to the power of zero
6^1;six to the one
6^1;six to the power of one
6^2;six to the two
6^2;six to the power of two
6^3;six to the three
6^3;six to the power of three
6^4;six to the four
6^4;six to the power of four
6^5;six to the five
6^5;six to the power of five
6^6;six to the six
6^6;six to the power of six
6^7;six to the seven
6^7;six to the power of seven
6^8;six to the eight
6^8;six to the power of eight
6^9;six to the nine
6^9;six to the power of nine
6^x;six to the x
6^x;six to the power of x
6^y;six to the y
6^y;six to the power of y
6^z;six to the z
6^z;six to the power of z
7^0;seven to the zero
7^0;seven to the power of zero
7^1;seven to the one
7^1;seven to the power of one
7^2;seven to the two
7^2;seven to the power of two
7^3;seven to the three
7^3;seven to the power of three
7^4;seven to the four
7^4;seven to the power of four
7^5;seven to the five
7^5;seven to the power of five
7^6;seven to the six
7^6;seven to the power of six
7^7;seven to the seven
7^7;seven to the power of seven
7^8;seven to the eight
7^8;seven to the power of eight
7^9;seven to the nine
7^9;seven to the power of nine
7^x;seven to the x
7^x;seven to the power of x
7^y;seven to the y
7^y;seven to the power of y
7^z;seven to the z
7^z;seven to the power of z
8^0;eight to the zero
8^0;eight to the power of zero
8^1;eight to the one
8^1;eight to the power of one
8^2;eight to the two
8^2;eight to the power of two
8^3;eight to the three
8^3;eight to the power of three
8^4;eight to the four
8^4;eight to the power of four
8^5;eight to the five
8^5;eight to the power of five
8^6;eight to the six
8^6;eight to the power of six
8^7;eight to the seven
8^7;eight to the power of seven
8^8;eight to the eight
8^8;eight to the power of eight
8^9;eight to the nine
8^9;eight to the power of nine
8^x;eight to the x
8^x;eight to the power of x
8^y;eight to the y
8^y;eight to the power of y
8^z;eight to the z
8^z;eight to the power of z
9^0;nine to the zero
9^0;nine to the power of zero
9^1;nine to the one
9^1;nine to the power of one
9^2;nine to the two
9^2;nine to the power of two
9^3;nine to the three
9^3;nine to the power of three
9^4;nine to the four
9^4;nine to the power of four
9^5;nine to the five
9^5;nine to the power of five
9^6;nine to the six
9^6;nine to the power of six
9^7;nine to the seven
9^7;nine to the power of seven
9^8;nine to the eight
9^8;nine to the power of eight
9^9;nine to the nine
9^9;nine to the power of nine
9^x;nine to the x
9^x;nine to the power of x
9^y;nine to the y
9^y;nine to the power of y
9^z;nine to the z
9^z;nine to the power of z
x^0;x to the zero
x^0;x to the power of zero
x^1;x to the one
x^1;x to the power of one
x^2;x to the two
x^2;x to the power of two
x^3;x to the three
x^3;x to the power of three
x^4;x to the four
x^4;x to the power of four
x^5;x to the five
x^5;x to the power of five
x^6;x to the six
x^6;x to the power of six
x^7;x to the seven
x^7;x to the power of seven
x^8;x to the eight
x^8;x to the power of eight
x^9;x to the nine
x^9;x to the power of nine
x^x;x to the x
x^x;x to the power of x
x^y;x to the y
x^y;x to the power of y
x^z;x to the z
x^z;x to the power of z
y^0;y to the zero
y^0;y to the power of zero
y^1;y to the one
y^1;y to the power of one
y^2;y to the two
y^2;y to the power of two
y^3;y to the three
y^3;y to the power of three
y^4;y to the four
y^4;y to the power of four
y^5;y to the five
y^5;y to the power of five
y^6;y to the six
y^6;y to the power of six
y^7;y to the seven
y^7;y to the power of seven
y^8;y to the eight
y^8;y to the power of eight
y^9;y to the nine
y^9;y to the power of nine
y^x;y to the x
y^x;y to the power of x
y^y;y to the y
y^y;y to the power of y
y^z;y to the z
y^z;y to the power of z
z^0;z to the zero
z^0;z to the power of zero
z^1;z to the one
z^1;z to the power of one
z^2;z to the two
z^2;z to the power of two
z^3;z to the three
z^3;z to the power of three
z^4;z to the four
z^4;z to the power of four
z^5;z to the five
z^5;z to the power of five
z^6;z to the six
z^6;z to the power of six
z^7;z to the seven
z^7;z to the power of seven
z^8;z to the eight
z^8;z to the power of eight
z^9;z to the nine
z^9;z to the power of nine
z^x;z to the x
z^x;z to the power of x
z^y;z to the y
z^y;z to the power of y
z^z;z to the z
z^z;z to the power of z
0^2;zero squared
0^2;zero to the power of two
1^2;one squared
1^2;one to the power of two
2^2;two squared
2^2;two to the power of two
3^2;three squared
3^2;three to the power of two
4^2;four squared
4^2;four to the power of two
5^2;five squared
5^2;five to the power of two
6^2;six squared
6^2;six to the power of two
7^2;seven squared
7^2;seven to the power of two
8^2;eight squared
8^2;eight to the power of two
9^2;nine squared
9^2;nine to the power of two
x^2;x squared
x^2;x to the power of two
y^2;y squared
y^2;y to the power of two
z^2;z squared
z^2;z to the power of two
\frac{0}{0};zero over zero
\frac{0}{0};zero divided by zero
\frac{0}{1};zero over one
\frac{0}{1};zero divided by one
\frac{0}{2};zero over two
\frac{0}{2};zero divided by two
\frac{0}{3};zero over three
\frac{0}{3};zero divided by three
\frac{0}{4};zero over four
\frac{0}{4};zero divided by four
\frac{0}{5};zero over five
\frac{0}{5};zero divided by five
\frac{0}{6};zero over six
\frac{0}{6};zero divided by six
\frac{0}{7};zero over seven
\frac{0}{7};zero divided by seven
\frac{0}{8};zero over eight
\frac{0}{8};zero divided by eight
\frac{0}{9};zero over nine
\frac{0}{9};zero divided by nine
\frac{0}{x};zero over x
\frac{0}{x};zero divided by x
\frac{0}{y};zero over y
\frac{0}{y};zero divided by y
\frac{0}{z};zero over z
\frac{0}{z};zero divided by z
\frac{1}{0};one over zero
\frac{1}{0};one divided by zero
\frac{1}{1};one over one
\frac{1}{1};one divided by one
\frac{1}{2};one over two
\frac{1}{2};one divided by two
\frac{1}{3};one over three
\frac{1}{3};one divided by three
\frac{1}{4};one over four
\frac{1}{4};one divided by four
\frac{1}{5};one over five
\frac{1}{5};one divided by five
\frac{1}{6};one over six
\frac{1}{6};one divided by six
\frac{1}{7};one over seven
\frac{1}{7};one divided by seven
\frac{1}{8};one over eight
\frac{1}{8};one divided by eight
\frac{1}{9};one over nine
\frac{1}{9};one divided by nine
\frac{1}{x};one over x
\frac{1}{x};one divided by x
\frac{1}{y};one over y
\frac{1}{y};one divided by y
\frac{1}{z};one over z
\frac{1}{z};one divided by z
\frac{2}{0};two over zero
\frac{2}{0};two divided by zero
\frac{2}{1};two over one
\frac{2}{1};two divided by one
\frac{2}{2};two over two
\frac{2}{2};two divided by two
\frac{2}{3};two over three
\frac{2}{3};two divided by three
\frac{2}{4};two over four
\frac{2}{4};two divided by four
\frac{2}{5};two over five
\frac{2}{5};two divided by five
\frac{2}{6};two over six
\frac{2}{6};two divided by six
\frac{2}{7};two over seven
\frac{2}{7};two divided by seven
\frac{2}{8};two over eight
\frac{2}{8};two divided by eight
\frac{2}{9};two over nine
\frac{2}{9};two divided by nine
\frac{2}{x};two over x
\frac{2}{x};two divided by x
\frac{2}{y};two over y
\frac{2}{y};two divided by y
\frac{2}{z};two over z
\frac{2}{z};two divided by z
\frac{3}{0};three over zero
\frac{3}{0};three divided by zero
\frac{3}{1};three over one
\frac{3}{1};three divided by one
\frac{3}{2};three over two
\frac{3}{2};three divided by two
\frac{3}{3};three over three
\frac{3}{3};three divided by three
\frac{3}{4};three over four
\frac{3}{4};three divided by four
\frac{3}{5};three over five
\frac{3}{5};three divided by five
\frac{3}{6};three over six
\frac{3}{6};three divided by six
\frac{3}{7};three over seven
\frac{3}{7};three divided by seven
\frac{3}{8};three over eight
\frac{3}{8};three divided by eight
\frac{3}{9};three over nine
\frac{3}{9};three divided by nine
\frac{3}{x};three over x
\frac{3}{x};three divided by x
\frac{3}{y};three over y
\frac{3}{y};three divided by y
\frac{3}{z};three over z
\frac{3}{z};three divided by z
\frac{4}{0};four over zero
\frac{4}{0};four divided by zero
\frac{4}{1};four over one
\frac{4}{1};four divided by one
\frac{4}{2};four over two
\frac{4}{2};four divided by two
\frac{4}{3};four over three
\frac{4}{3};four divided by three
\frac{4}{4};four over four
\frac{4}{4};four divided by four
\frac{4}{5};four over five
\frac{4}{5};four divided by five
\frac{4}{6};four over six
\frac{4}{6};four divided by six
\frac{4}{7};four over seven
\frac{4}{7};four divided by seven
\frac{4}{8};four over eight
\frac{4}{8};four divided by eight
\frac{4}{9};four over nine
\frac{4}{9};four divided by nine
\frac{4}{x};four over x
\frac{4}{x};four divided by x
\frac{4}{y};four over y
\frac{4}{y};four divided by y
\frac{4}{z};four over z
\frac{4}{z};four divided by z
\frac{5}{0};five over zero
\frac{5}{0};five divided by zero
\frac{5}{1};five over one
\frac{5}{1};five divided by one
\frac{5}{2};five over two
\frac{5}{2};five divided by two
\frac{5}{3};five over three
\frac{5}{3};five divided by three
\frac{5}{4};five over four
\frac{5}{4};five divided by four
\frac{5}{5};five over five
\frac{5}{5};five divided by five
\frac{5}{6};five over six
\frac{5}{6};five divided by six
\frac{5}{7};five over seven
\frac{5}{7};five divided by seven
\frac{5}{8};five over eight
\frac{5}{8};five divided by eight
\frac{5}{9};five over nine
\frac{5}{9};five divided by nine
\frac{5}{x};five over x
\frac{5}{x};five divided by x
\frac{5}{y};five over y
\frac{5}{y};five divided by y
\frac{5}{z};five over z
\frac{5}{z};five divided by z
\frac{6}{0};six over zero
\frac{6}{0};six divided by zero
\frac{6}{1};six over one
\frac{6}{1};six divided by one
\frac{6}{2};six over two
\frac{6}{2};six divided by two
\frac{6}{3};six over three
\frac{6}{3};six divided by three
\frac{6}{4};six over four
\frac{6}{4};six divided by four
\frac{6}{5};six over five
\frac{6}{5};six divided by five
\frac{6}{6};six over six
\frac{6}{6};six divided by six
\frac{6}{7};six over seven
\frac{6}{7};six divided by seven
\frac{6}{8};six over eight
\frac{6}{8};six divided by eight
\frac{6}{9};six over nine
\frac{6}{9};six divided by nine
\frac{6}{x};six over x
\frac{6}{x};six divided by x
\frac{6}{y};six over y
\frac{6}{y};six divided by y
\frac{6}{z};six over z
\frac{6}{z};six divided by z
\frac{7}{0};seven over zero
\frac{7}{0};seven divided by zero
\frac{7}{1};seven over one
\frac{7}{1};seven divided by one
\frac{7}{2};seven over two
\frac{7}{2};seven divided by two
\frac{7}{3};seven over three
\frac{7}{3};seven divided by three
\frac{7}{4};seven over four
\frac{7}{4};seven divided by four
\frac{7}{5};seven over five
\frac{7}{5};seven divided by five
\frac{7}{6};seven over six
\frac{7}{6};seven divided by six
\frac{7}{7};seven over seven
\frac{7}{7};seven divided by seven
\frac{7}{8};seven over eight
\frac{7}{8};seven divided by eight
\frac{7}{9};seven over nine
\frac{7}{9};seven divided by nine
\frac{7}{x};seven over x
\frac{7}{x};seven divided by x
\frac{7}{y};seven over y
\frac{7}{y};seven divided by y
\frac{7}{z};seven over z
\frac{7}{z};seven divided by z
\frac{8}{0};eight over zero
\frac{8}{0};eight divided by zero
\frac{8}{1};eight over one
\frac{8}{1};eight divided by one
\frac{8}{2};eight over two
\frac{8}{2};eight divided by two
\frac{8}{3};eight over three
\frac{8}{3};eight divided by three
\frac{8}{4};eight over four
\frac{8}{4};eight divided by four
\frac{8}{5};eight over five
\frac{8}{5};eight divided by five
\frac{8}{6};eight over six
\frac{8}{6};eight divided by six
\frac{8}{7};eight over seven
\frac{8}{7};eight divided by seven
\frac{8}{8};eight over eight
\frac{8}{8};eight divided by eight
\frac{8}{9};eight over nine
\frac{8}{9};eight divided by nine
\frac{8}{x};eight over x
\frac{8}{x};eight divided by x
\frac{8}{y};eight over y
\frac{8}{y};eight divided by y
\frac{8}{z};eight over z
\frac{8}{z};eight divided by z
\frac{9}{0};nine over zero
\frac{9}{0};nine divided by zero
\frac{9}{1};nine over one
\frac{9}{1};nine divided by one
\frac{9}{2};nine over two
\frac{9}{2};nine divided by two
\frac{9}{3};nine over three
\frac{9}{3};nine divided by three
\frac{9}{4};nine over four
\frac{9}{4};nine divided by four
\frac{9}{5};nine over five
\frac{9}{5};nine divided by five
\frac{9}{6};nine over six
\frac{9}{6};nine divided by six
\frac{9}{7};nine over seven
\frac{9}{7};nine divided by seven
\frac{9}{8};nine over eight
\frac{9}{8};nine divided by eight
\frac{9}{9};nine over nine
\frac{9}{9};nine divided by nine
\frac{9}{x};nine over x
\frac{9}{x};nine divided by x
\frac{9}{y};nine over y
\frac{9}{y};nine divided by y
\frac{9}{z};nine over z
\frac{9}{z};nine divided by z
\frac{x}{0};x over zero
\frac{x}{0};x divided by zero
\frac{x}{1};x over one
\frac{x}{1};x divided by one
\frac{x}{2};x over two
\frac{x}{2};x divided by two
\frac{x}{3};x over three
\frac{x}{3};x divided by three
\frac{x}{4};x over four
\frac{x}{4};x divided by four
\frac{x}{5};x over five
\frac{x}{5};x divided by five
\frac{x}{6};x over six
\frac{x}{6};x divided by six
\frac{x}{7};x over seven
\frac{x}{7};x divided by seven
\frac{x}{8};x over eight
\frac{x}{8};x divided by eight
\frac{x}{9};x over nine
\frac{x}{9};x divided by nine
\frac{x}{x};x over x
\frac{x}{x};x divided by x
\frac{x}{y};x over y
\frac{x}{y};x divided by y
\frac{x}{z};x over z
\frac{x}{z};x divided by z
\frac{y}{0};y over zero
\frac{y}{0};y divided by zero
\frac{y}{1};y over one
\frac{y}{1};y divided by one
\frac{y}{2};y over two
\frac{y}{2};y divided by two
\frac{y}{3};y over three
\frac{y}{3};y divided by three
\frac{y}{4};y over four
\frac{y}{4};y divided by four
\frac{y}{5};y over five
\frac{y}{5};y divided by five
\frac{y}{6};y over six
\frac{y}{6};y divided by six
\frac{y}{7};y over seven
\frac{y}{7};y divided by seven
\frac{y}{8};y over eight
\frac{y}{8};y divided by eight
\frac{y}{9};y over nine
\frac{y}{9};y divided by nine
\frac{y}{x};y over x
\frac{y}{x};y divided by x
\frac{y}{y};y over y
\frac{y}{y};y divided by y
\frac{y}{z};y over z
\frac{y}{z};y divided by z
\frac{z}{0};z over zero
\frac{z}{0};z divided by zero
\frac{z}{1};z over one
\frac{z}{1};z divided by one
\frac{z}{2};z over two
\frac{z}{2};z divided by two
\frac{z}{3};z over three
\frac{z}{3};z divided by three
\frac{z}{4};z over four
\frac{z}{4};z divided by four
\frac{z}{5};z over five
\frac{z}{5};z divided by five
\frac{z}{6};z over six
\frac{z}{6};z divided by six
\frac{z}{7};z over seven
\frac{z}{7};z divided by seven
\frac{z}{8};z over eight
\frac{z}{8};z divided by eight
\frac{z}{9};z over nine
\frac{z}{9};z divided by nine
\frac{z}{x};z over x
\frac{z}{x};z divided by x
\frac{z}{y};z over y
\frac{z}{y};z divided by y
\frac{z}{z};z over z
\frac{z}{z};z divided by z
0+0;zero plus zero
0+0;add zero to zero
0+1;zero plus one
0+1;add zero to one
0+2;zero plus two
0+2;add zero to two
0+3;zero plus three
0+3;add zero to three
0+4;zero plus four
0+4;add zero to four
0+5;zero plus five
0+5;add zero to five
0+6;zero plus six
0+6;add zero to six
0+7;zero plus seven
0+7;add zero to seven
0+8;zero plus eight
0+8;add zero to eight
0+9;zero plus nine
0+9;add zero to nine
0+x;zero plus x
0+x;add zero to x
0+y;zero plus y
0+y;add zero to y
0+z;zero plus z
0+z;add zero to z
1+0;one plus zero
1+0;add one to zero
1+1;one plus one
1+1;add one to one
1+2;one plus two
1+2;add one to two
1+3;one plus three
1+3;add one to three
1+4;one plus four
1+4;add one to four
1+5;one plus five
1+5;add one to five
1+6;one plus six
1+6;add one to six
1+7;one plus seven
1+7;add one to seven
1+8;one plus eight
1+8;add one to eight
1+9;one plus nine
1+9;add one to nine
1+x;one plus x
1+x;add one to x
1+y;one plus y
1+y;add one to y
1+z;one plus z
1+z;add one to z
2+0;two plus zero
2+0;add two to zero
2+1;two plus one
2+1;add two to one
2+2;two plus two
2+2;add two to two
2+3;two plus three
2+3;add two to three
2+4;two plus four
2+4;add two to four
2+5;two plus five
2+5;add two to five
2+6;two plus six
2+6;add two to six
2+7;two plus seven
2+7;add two to seven
2+8;two plus eight
2+8;add two to eight
2+9;two plus nine
2+9;add two to nine
2+x;two plus x
2+x;add two to x
2+y;two plus y
2+y;add two to y
2+z;two plus z
2+z;add two to z
3+0;three plus zero
3+0;add three to zero
3+1;three plus one
3+1;add three to one
3+2;three plus two
3+2;add three to two
3+3;three plus three
3+3;add three to three
3+4;three plus four
3+4;add three to four
3+5;three plus five
3+5;add three to five
3+6;three plus six
3+6;add three to six
3+7;three plus seven
3+7;add three to seven
3+8;three plus eight
3+8;add three to eight
3+9;three plus nine
3+9;add three to nine
3+x;three plus x
3+x;add three to x
3+y;three plus y
3+y;add three to y
3+z;three plus z
3+z;add three to z
4+0;four plus zero
4+0;add four to zero
4+1;four plus one
4+1;add four to one
4+2;four plus two
4+2;add four to two
4+3;four plus three
4+3;add four to three
4+4;four plus four
4+4;add four to four
4+5;four plus five
4+5;add four to five
4+6;four plus six
4+6;add four to six
4+7;four plus seven
4+7;add four to seven
4+8;four plus eight
4+8;add four to eight
4+9;four plus nine
4+9;add four to nine
4+x;four plus x
4+x;add four to x
4+y;four plus y
4+y;add four to y
4+z;four plus z
4+z;add four to z
5+0;five plus zero
5+0;add five to zero
5+1;five plus one
5+1;add five to one
5+2;five plus two
5+2;add five to two
5+3;five plus three
5+3;add five to three
5+4;five plus four
5+4;add five to four
5+5;five plus five
5+5;add five to five
5+6;five plus six
5+6;add five to six
5+7;five plus seven
5+7;add five to seven
5+8;five plus eight
5+8;add five to eight
5+9;five plus nine
5+9;add five to nine
5+x;five plus x
5+x;add five to x
5+y;five plus y
5+y;add five to y
5+z;five plus z
5+z;add five to z
6+0;six plus zero
6+0;add six to zero
6+1;six plus one
6+1;add six to one
6+2;six plus two
6+2;add six to two
6+3;six plus three
6+3;add six to three
6+4;six plus four
6+4;add six to four
6+5;six plus five
6+5;add six to five
6+6;six plus six
6+6;add six to six
